,movie,year,timeMin,imdb,metascore,votes,us_grossMillions
0,Dune,2021,155,8.5,75.0,36088,
1,Shang-Chi and the Legend of the Ten Rings,2021,132,7.9,71.0,85955,
2,The Matrix,1999,136,8.7,73.0,1757491,171.48
3,Shershaah,2021,135,8.8,No Score Given,101531,
4,Avengers: Endgame,2019,181,8.4,78.0,938583,858.37
5,The Shawshank Redemption,1994,142,9.3,80.0,2463625,28.34
6,Once Upon a Time... in Hollywood,2019,161,7.6,83.0,637110,142.5
7,Knives Out,2019,130,7.9,82.0,527194,165.36
8,Once Upon a Time in America,1984,229,8.4,75.0,328694,5.32
9,Wind River,2017,107,7.7,73.0,223587,33.8
10,Harry Potter and the Sorcerer's Stone,2001,152,7.6,64.0,698640,317.58
11,The Wolf of Wall Street,2013,180,8.2,75.0,1264443,116.9
12,Zack Snyder's Justice League,2021,242,8.1,54.0,336499,
13,The Father,2020,97,8.3,88.0,96211,
14,Interstellar,2014,169,8.6,74.0,1614656,188.02
15,The Dark Knight,2008,152,9.0,84.0,2418657,534.86
16,Blade Runner 2049,2017,164,8.0,81.0,497808,92.05
17,Gisaengchung,2019,132,8.6,96.0,659890,53.37
18,The Godfather,1972,175,9.2,100.0,1703668,134.97
19,Bohemian Rhapsody,2018,134,7.9,49.0,486259,216.43
20,Inception,2010,148,8.8,74.0,2169992,292.58
21,1917,2019,119,8.3,78.0,490885,159.23
22,Pulp Fiction,1994,154,8.9,94.0,1908164,107.93
23,Mad Max: Fury Road,2015,120,8.1,90.0,926845,154.06
24,The Lord of the Rings: The Fellowship of the Ring,2001,178,8.8,92.0,1730808,315.54
25,Gone Girl,2014,149,8.1,79.0,908287,167.77
26,Joker,2019,122,8.4,59.0,1066662,335.45
27,Goodfellas,1990,146,8.7,90.0,1069817,46.84
28,Avengers: Infinity War,2018,149,8.4,68.0,923695,678.82
29,Gladiator,2000,155,8.5,67.0,1398390,187.71
30,The Goonies,1985,114,7.8,62.0,255337,61.5
31,Forrest Gump,1994,142,8.8,82.0,1904637,330.25
32,Jurassic Park,1993,127,8.1,68.0,908913,402.45
33,Man on Fire,2004,146,7.7,47.0,341487,77.91
34,Tombstone,1993,130,7.8,50.0,135913,56.51
35,Guardians of the Galaxy,2014,121,8.0,76.0,1093651,333.18
36,Titanic,1997,194,7.8,75.0,1092110,659.33
37,Prisoners,2013,153,8.1,70.0,637340,61.0
38,Druk,2020,117,7.8,79.0,109030,
39,American Psycho,2000,101,7.6,64.0,525191,15.07
40,Harry Potter and the Deathly Hallows: Part 2,2011,130,8.1,85.0,802428,381.01
41,Back to the Future,1985,116,8.5,87.0,1112692,210.61
42,Deadpool,2016,108,8.0,65.0,947914,363.07
43,Casino Royale,2006,144,8.0,80.0,601028,167.45
44,Sicario,2015,121,7.6,82.0,394051,46.89
45,Django Unchained,2012,165,8.4,81.0,1426287,162.81
46,Blade Runner,1982,117,8.1,84.0,721596,32.87
47,Inglourious Basterds,2009,153,8.3,69.0,1332539,120.54
48,The Gentlemen,2019,113,7.8,51.0,281348,
49,Thor: Ragnarok,2017,130,7.9,74.0,646375,315.06
50,Fight Club,1999,139,8.8,66.0,1939938,37.03
51,Pirates of the Caribbean: The Curse of the Black Pearl,2003,143,8.0,63.0,1044958,305.41
52,Logan,2017,137,8.1,77.0,687592,226.28
53,Spider-Man: Into the Spider-Verse,2018,117,8.4,87.0,427122,190.24
54,Se7en,1995,127,8.6,65.0,1516212,100.13
55,To Kill a Mockingbird,1962,129,8.3,88.0,304238,
56,No Country for Old Men,2007,122,8.1,91.0,900494,74.28
57,Little Women,2019,135,7.8,91.0,165316,108.1
58,Get Out,2017,104,7.7,85.0,530068,176.04
59,Ferris Bueller's Day Off,1986,103,7.8,61.0,335441,70.14
60,The Silence of the Lambs,1991,118,8.6,85.0,1331437,130.74
61,Léon,1994,110,8.5,64.0,1081268,19.5
62,The Help,2011,146,8.0,62.0,439488,169.71
63,The Departed,2006,151,8.5,85.0,1240497,132.38
64,Arrival,2016,116,7.9,81.0,633298,100.55
65,The Princess Bride,1987,98,8.1,77.0,408107,30.86
66,Alien,1979,117,8.4,89.0,823086,78.9
67,Schindler's List,1993,195,8.9,94.0,1266250,96.9
68,Harry Potter and the Goblet of Fire,2005,157,7.7,81.0,573939,290.01
69,Iron Man,2008,126,7.9,79.0,983571,318.41
70,The Prestige,2006,130,8.5,66.0,1244744,53.09
71,Call Me by Your Name,2017,132,7.9,93.0,236084,18.1
72,The Dark Knight Rises,2012,164,8.4,78.0,1577718,448.14
73,Catch Me If You Can,2002,141,8.1,75.0,885476,164.62
74,Good Will Hunting,1997,126,8.3,70.0,900458,138.43
75,The Big Short,2015,130,7.8,81.0,390071,70.26
76,Deadpool 2,2018,119,7.7,66.0,517383,324.59
77,A Clockwork Orange,1971,136,8.3,77.0,785711,6.21
78,What We Do in the Shadows,2014,86,7.7,76.0,167869,3.33
79,The Shining,1980,146,8.4,66.0,942084,44.02
80,Avatar,2009,162,7.8,83.0,1155826,760.51
81,Skyfall,2012,143,7.7,81.0,648245,304.36
82,Warrior,2011,140,8.1,71.0,449899,13.66
83,Whiplash,2014,106,8.5,88.0,763254,13.09
84,The Graduate,1967,106,8.0,83.0,262816,104.95
85,The Big Lebowski,1998,117,8.1,71.0,765893,17.5
86,The Avengers,2012,143,8.0,69.0,1307789,623.28
87,Drive,2011,100,7.8,78.0,594921,35.06
88,The Green Mile,1999,189,8.6,61.0,1203357,136.8
89,The Hustler,1961,134,8.0,90.0,79214,8.28
90,Watchmen,2009,162,7.6,56.0,526083,107.51
91,Star Trek,2009,127,7.9,82.0,589775,257.73
92,12 Angry Men,1957,96,9.0,96.0,729357,4.36
93,Shutter Island,2010,138,8.2,63.0,1195595,128.01
94,The Boy in the Striped Pyjamas,2008,94,7.8,55.0,200414,9.03
95,The Lord of the Rings: The Return of the King,2003,201,8.9,94.0,1709508,377.85
96,Dazed and Confused,1993,102,7.6,78.0,173936,7.99
97,Heat,1995,170,8.2,76.0,605957,67.44
98,Hamilton,2020,160,8.4,90.0,73623,
99,Ford v Ferrari,2019,152,8.1,81.0,335322,117.62
100,The Thing,1982,109,8.1,57.0,390914,13.78
101,Harry Potter and the Prisoner of Azkaban,2004,142,7.9,82.0,580018,249.36
102,The Revenant,2015,156,8.0,76.0,741459,183.64
103,Black Swan,2010,108,8.0,79.0,723897,106.95
104,Baby Driver,2017,113,7.6,86.0,476861,107.83
105,Jojo Rabbit,2019,108,7.9,58.0,338788,0.35
106,The Notebook,2004,123,7.8,53.0,540410,81.0
107,American Beauty,1999,122,8.3,84.0,1104245,130.1
108,Requiem for a Dream,2000,102,8.3,68.0,795621,3.64
109,Stardust,2007,127,7.6,66.0,262705,38.63
110,Batman Begins,2005,140,8.2,70.0,1359902,206.85
111,Into the Wild,2007,148,8.1,73.0,594247,18.35
112,Saving Private Ryan,1998,169,8.6,91.0,1291708,216.54
113,Hacksaw Ridge,2016,139,8.1,71.0,467400,67.21
114,Snatch,2000,104,8.3,55.0,811471,30.33
115,There Will Be Blood,2007,158,8.2,93.0,544685,40.22
116,Green Book,2018,130,8.2,69.0,426431,85.08
117,The Grand Budapest Hotel,2014,99,8.1,88.0,745131,59.1
118,Office Space,1999,89,7.7,68.0,251833,10.82
119,The Fifth Element,1997,126,7.7,52.0,448952,63.54
120,Dunkirk,2017,106,7.8,94.0,595030,188.37
121,"Il buono, il brutto, il cattivo",1966,161,8.8,90.0,717691,6.1
122,Guardians of the Galaxy Vol. 2,2017,136,7.6,67.0,610342,389.81
123,Taxi Driver,1976,114,8.2,94.0,761450,28.26
124,Aliens,1986,137,8.3,84.0,678351,85.16
125,Ex Machina,2014,108,7.7,78.0,501442,25.44
126,Halloween,1978,91,7.7,87.0,243843,47.0
127,The Irishman,2019,209,7.8,94.0,351293,7.0
128,Boogie Nights,1997,155,7.9,85.0,250149,26.4
129,Raiders of the Lost Ark,1981,115,8.4,85.0,916831,248.16
130,Predator,1987,107,7.8,45.0,387073,59.74
131,Kingsman: The Secret Service,2014,129,7.7,60.0,616225,128.26
132,Pride & Prejudice,2005,129,7.8,82.0,273125,38.41
133,V for Vendetta,2005,132,8.1,62.0,1066179,70.51
134,Dead Poets Society,1989,128,8.1,79.0,448951,95.86
135,Gran Torino,2008,116,8.1,72.0,741740,148.1
136,Memento,2000,113,8.4,80.0,1168993,25.54
137,Mulholland Dr.,2001,147,7.9,85.0,337485,7.22
138,Apocalypse Now,1979,147,8.4,94.0,629703,83.47
139,La La Land,2016,128,8.0,94.0,537230,151.1
140,The Hangover,2009,100,7.7,73.0,742314,277.32
141,One Flew Over the Cuckoo's Nest,1975,133,8.7,84.0,953859,112.0
142,Jagten,2012,115,8.3,77.0,303276,0.69
143,Soul,2020,100,8.1,83.0,277932,
144,300,2006,117,7.6,52.0,756991,210.61
145,Braveheart,1995,178,8.3,68.0,988456,75.6
146,Full Metal Jacket,1987,116,8.3,76.0,701347,46.36
147,Jaws,1975,124,8.0,87.0,564921,260.0
148,The Truman Show,1998,103,8.1,90.0,988771,125.62
149,Stand by Me,1986,89,8.1,75.0,380030,52.29
150,Unforgiven,1992,130,8.2,85.0,391733,101.16
151,Star Wars,1977,121,8.6,90.0,1276711,322.74
152,Zodiac,2007,157,7.7,78.0,496017,33.08
153,The Usual Suspects,1995,106,8.5,77.0,1028594,23.34
154,Mission: Impossible - Fallout,2018,147,7.7,86.0,307849,220.16
155,Oldeuboi,2003,120,8.4,77.0,540642,0.71
156,Kill Bill: Vol. 1,2003,111,8.1,69.0,1045685,70.1
157,The Hateful Eight,2015,168,7.8,68.0,550350,54.12
158,Psycho,1960,109,8.5,97.0,630400,32.0
159,Incendies,2010,131,8.3,80.0,161949,6.86
160,Pan's Labyrinth,2006,118,8.2,98.0,638573,37.63
161,Harry Potter and the Deathly Hallows: Part 1,2010,146,7.7,65.0,502602,295.98
162,Reservoir Dogs,1992,99,8.3,79.0,957737,2.83
163,Eternal Sunshine of the Spotless Mind,2004,108,8.3,89.0,948263,34.4
164,Cool Hand Luke,1967,127,8.1,92.0,170027,16.22
165,Captain America: Civil War,2016,147,7.8,75.0,708533,408.08
166,Saw,2004,103,7.6,46.0,396705,56.0
167,Almost Famous,2000,122,7.9,90.0,264837,32.53
168,Scarface,1983,170,8.3,65.0,778172,45.6
169,Coco,2017,105,8.4,81.0,431609,209.73
170,Edge of Tomorrow,2014,113,7.9,71.0,630833,100.21
171,The Martian,2015,144,8.0,80.0,794689,228.43
172,The Godfather: Part II,1974,202,9.0,90.0,1183389,57.3
173,Mystic River,2003,138,7.9,84.0,436741,90.14
174,Donnie Darko,2001,113,8.0,88.0,763636,1.48
175,The Girl with the Dragon Tattoo,2011,158,7.8,71.0,439991,102.52
176,The Hobbit: An Unexpected Journey,2012,169,7.8,58.0,780436,303.0
177,Die Hard,1988,132,8.2,72.0,820563,83.01
178,The Game,1997,129,7.7,61.0,369109,48.32
179,True Grit,2010,110,7.6,80.0,323209,171.24
180,"Three Billboards Outside Ebbing, Missouri",2017,115,8.1,88.0,465782,54.51
181,Ghostbusters,1984,105,7.8,71.0,372928,238.63
182,Up,2009,96,8.2,88.0,975584,293.0
183,Sen to Chihiro no kamikakushi,2001,125,8.6,96.0,693420,10.06
184,The Social Network,2010,120,7.7,95.0,654033,96.96
185,The Lord of the Rings: The Two Towers,2002,179,8.7,87.0,1545536,342.55
186,Sin City,2005,124,8.0,74.0,749738,74.1
187,Moana,2016,107,7.6,81.0,296785,248.76
